rank,state,nces_id,district,students
129,GA,1304220,"Pulaski County",40
130,MS,2804260,"TISHOMINGO CO SP MUN SCH DIST",40
131,TX,4821900,"GROVETON ISD",40
132,AL,0102850,"Roanoke City",39
133,AR,0502670,"AUGUSTA SCHOOL DISTRICT",39
134,AR,0513080,"GREENE COUNTY TECH SCHOOL DIST.",39
135,GA,1300238,"State Charter Schools- Georgia School for Innovation and th",39
136,MO,2916500,"KENNETT 39",38
137,TX,4842810,"TIDEHAVEN ISD",38
138,AL,0100720,"Clarke County",37
139,AL,0100870,"Conecuh County",37
140,AL,0103580,"Winston County",37
141,GA,1300218,"State Charter Schools II- Pataula Charter Academy",37
142,MS,2800390,"ALCORN SCHOOL DIST",37
143,MS,2800990,"CHOCTAW CO SCHOOL DIST",37
144,OK,4015370,"IDABEL",37
145,TX,4823490,"HOOKS ISD",37
146,TX,4829160,"MARSHALL ISD",37
147,TX,4814130,"CITY VIEW ISD",36
148,AL,0100360,"Bibb County",35
149,AR,0500029,"GOSNELL SCHOOL DISTRICT",35
150,AR,0503090,"BERGMAN SCHOOL DISTRICT",35
151,GA,1304140,"Pierce County",35
152,MS,2801290,"COVINGTON COUNTY SCHOOL DISTRICT",35
153,OK,4016350,"KEOTA",35
154,TX,4834050,"PALESTINE ISD",35
155,TX,4834290,"PARIS ISD",35
156,AR,0500068,"EMERSON-TAYLOR SCHOOL DISTRICT",34
157,MS,2800420,"AMITE COUNTY SCHOOL DISTRICT",34
158,OK,4027960,"SOPER",34
159,TX,4833660,"OLTON ISD",34
160,TX,4843200,"TRINITY ISD",34
161,AL,0100090,"Anniston City",33
162,AL,0100900,"Coosa County",33
163,AL,0101710,"Hale County",33
164,AL,0102160,"Lowndes County",33
165,FL,1201020,"LAFAYETTE",33
166,GA,1301870,"Dublin City",33
167,TX,4842300,"TEAGUE ISD",33
168,GA,1300480,"Brantley County",32
169,MS,2802520,"LEAKE CO SCHOOL DIST",32
170,MS,2803150,"NEWTON COUNTY SCHOOL DISTRICT",32
171,MO,2903060,"ALTON R-IV",32
172,MO,2904950,"BERNIE R-XIII",32
173,MO,2910920,"DONIPHAN R-I",32
174,MO,2929810,"SUMMERSVILLE R-II",32
175,TX,4809690,"BECKVILLE ISD",32
176,TX,4821540,"GRANDVIEW ISD",32
177,GA,1300440,"Bleckley County",31
178,MS,2800510,"ATTALA CO SCHOOL DIST",31
179,TN,4704440,"Wayne County",31
180,TX,4810470,"BLOOMING GROVE ISD",31
181,TX,4824810,"JOAQUIN ISD",31
182,TX,4827180,"LEON ISD",31
183,AL,0101590,"Franklin County",30
184,AR,0500048,"EAST POINSETT CO. SCHOOL DIST.",30
185,AR,0504110,"GENOA CENTRAL SCHOOL DISTRICT",30
186,GA,1302040,"Emanuel County",30
187,MS,2801140,"COFFEEVILLE SCHOOL DIST",30
188,OK,4000772,"SANKOFA MIDDLE SCHL (CHARTER)",30
189,OK,4008250,"COLCORD",30
190,OK,4030870,"VALLIANT",30
191,AL,0102635,"Oxford City",29
192,MS,2801770,"HARRISON CO SCHOOL DIST",29
193,MS,2804710,"WILKINSON CO SCHOOL DIST",29
194,MO,2911100,"EAST CARTER CO. R-II",29
195,OK,4005520,"BROKEN BOW",29
196,OK,4012300,"FORT TOWSON",29
197,TN,4702430,"Lewis County",29
198,TN,4703360,"Paris",29
199,TX,4841580,"PLEMONS-STINNETT-PHILLIPS CISD",29
