state,nces_id,district,students
FL,1201950,WAKULLA,40
GA,1304220,Pulaski County,40
MS,2804260,TISHOMINGO CO SP MUN SCH DIST,40
TX,4821900,GROVETON ISD,40
AL,0102850,Roanoke City,39
AR,0502670,AUGUSTA SCHOOL DISTRICT,39
AR,0513080,GREENE COUNTY TECH SCHOOL DIST.,39
GA,1300238,State Charter Schools- Georgia School for Innovation and th,39
MO,2916500,KENNETT 39,38
TX,4842810,TIDEHAVEN ISD,38
AL,0100720,Clarke County,37
AL,0100870,Conecuh County,37
AL,0103580,Winston County,37
GA,1300218,State Charter Schools II- Pataula Charter Academy,37
MS,2800390,ALCORN SCHOOL DIST,37
MS,2800990,CHOCTAW CO SCHOOL DIST,37
OK,4015370,IDABEL,37
TX,4823490,HOOKS ISD,37
TX,4829160,MARSHALL ISD,37
TX,4814130,CITY VIEW ISD,36
AL,0100360,Bibb County,35
AR,0500029,GOSNELL SCHOOL DISTRICT,35
AR,0503090,BERGMAN SCHOOL DISTRICT,35
GA,1304140,Pierce County,35
MS,2801290,COVINGTON COUNTY SCHOOL DISTRICT,35
OK,4016350,KEOTA,35
TX,4834050,PALESTINE ISD,35
TX,4834290,PARIS ISD,35
AR,0500068,EMERSON-TAYLOR SCHOOL DISTRICT,34
MS,2800420,AMITE COUNTY SCHOOL DISTRICT,34
OK,4027960,SOPER,34
TX,4833660,OLTON ISD,34
TX,4843200,TRINITY ISD,34
AL,0100090,Anniston City,33
AL,0100900,Coosa County,33
AL,0101710,Hale County,33
AL,0102160,Lowndes County,33
FL,1201020,LAFAYETTE,33
GA,1301870,Dublin City,33
TX,4842300,TEAGUE ISD,33
GA,1300480,Brantley County,32
MS,2802520,LEAKE CO SCHOOL DIST,32
MS,2803150,NEWTON COUNTY SCHOOL DISTRICT,32
MO,2903060,ALTON R-IV,32
MO,2904950,BERNIE R-XIII,32
MO,2910920,DONIPHAN R-I,32
MO,2929810,SUMMERSVILLE R-II,32
TX,4809690,BECKVILLE ISD,32
TX,4821540,GRANDVIEW ISD,32
GA,1300440,Bleckley County,31
MS,2800510,ATTALA CO SCHOOL DIST,31
TN,4704440,Wayne County,31
TX,4810470,BLOOMING GROVE ISD,31
TX,4824810,JOAQUIN ISD,31
TX,4827180,LEON ISD,31
AL,0101590,Franklin County,30
AR,0500048,EAST POINSETT CO. SCHOOL DIST.,30
AR,0504110,GENOA CENTRAL SCHOOL DISTRICT,30
GA,1302040,Emanuel County,30
MS,2801140,COFFEEVILLE SCHOOL DIST,30
OK,4000772,SANKOFA MIDDLE SCHL (CHARTER),30
OK,4008250,COLCORD,30
OK,4030870,VALLIANT,30
AL,0102635,Oxford City,29
MS,2801770,HARRISON CO SCHOOL DIST,29
MS,2804710,WILKINSON CO SCHOOL DIST,29
MO,2911100,EAST CARTER CO. R-II,29
OK,4005520,BROKEN BOW,29
OK,4012300,FORT TOWSON,29
TN,4702430,Lewis County,29
TN,4703360,Paris,29
TX,4841580,PLEMONS-STINNETT-PHILLIPS CISD,29
MO,2925650,PUXICO R-VIII,28
OK,4014970,HOMINY,28
TX,4812480,CALHOUN COUNTY ISD,28
AL,0101020,Cullman County,27
AR,0505190,DES ARC SCHOOL DISTRICT,27
AR,0509570,MAYNARD SCHOOL DISTRICT,27
GA,1305730,Wilcox County,27
MS,2804530,WAYNE CO SCHOOL DIST,27
MO,2920610,MCDONALD CO. R-I,27
OK,4009720,DENISON,27
TX,4840500,SLOCUM ISD,27
TX,4842840,TIMPSON ISD,27
AL,0101890,Jasper City,26
AR,0513230,JACKSON CO. SCHOOL DISTRICT,26
LA,2201770,Union Parish,26
MS,2801050,CLARKSDALE MUNICIPAL SCHOOL DIST,26
TN,4703330,Overton County,26
AR,0507560,HEBER SPRINGS SCHOOL DISTRICT,25
AR,0511880,QUITMAN SCHOOL DISTRICT,25
FL,1201170,LIBERTY,25
MS,2800186,NORTH BOLIVAR CONS SCHOOL DIST,25
MO,2932220,WINONA R-III,25
OK,4033210,WRIGHT CITY,25
TN,4703270,Obion County,25
TX,4810780,BOLING ISD,25
TX,4811700,BROWNWOOD ISD,25
TX,4815720,CROCKETT ISD,25
TX,4818210,EDNA ISD,25
TX,4840590,SMYER ISD,25
TX,4841850,SUNDOWN ISD,25
AR,0500042,HAMBURG SCHOOL DISTRICT,24
GA,1305640,Wheeler County,24
OK,4000021,OKLAHOMA UNION,24
TN,4703450,Polk County,24
AR,0504080,CEDARVILLE SCHOOL DISTRICT,23
AR,0506240,FOREMAN SCHOOL DISTRICT,23
FL,1200960,JACKSON,23
TX,4842030,SWEETWATER ISD,23
AR,0500046,MANILA SCHOOL DISTRICT,22
AR,0507740,CROSS COUNTY SCHOOL DISTRICT,22
AR,0510320,SOUTH PIKE COUNTY SCHOOL DISTRICT,22
AR,0511070,PANGBURN SCHOOL DISTRICT,22
AR,0512090,SALEM SCHOOL DISTRICT,22
FL,1200630,GILCHRIST,22
GA,1305040,Toombs County,22
LA,2201350,Richland Parish,22
