state,nces_id,district,students
TN,4701590,Hamilton County,3
TN,4703480,Putnam County,3
TX,4800002,SPUR ISD,3
TX,4808400,ANSON ISD,3
TX,4809540,BARTLETT ISD,3
TX,4811400,FORT ELLIOTT CISD,3
TX,4812060,BULLARD ISD,3
TX,4814670,COLUMBIA-BRAZORIA ISD,3
TX,4815360,COTTON CENTER ISD,3
TX,4815960,CUERO ISD,3
TX,4816260,DAMON ISD,3
TX,4820460,GARY ISD,3
TX,4822680,HARTLEY ISD,3
TX,4823760,HUCKABAY ISD,3
TX,4824780,JIM NED CISD,3
TX,4825870,KNOX CITY-O'BRIEN CISD,3
TX,4826610,LAMESA ISD,3
TX,4831500,MOTLEY COUNTY ISD,3
TX,4832250,NECHES ISD,3
TX,4835340,POOLVILLE ISD,3
TX,4838520,SAINT JO ISD,3
TX,4840170,SIDNEY ISD,3
TX,4842120,RIVERCREST ISD,3
TX,4844370,WALCOTT ISD,3
TX,4844890,WELLINGTON ISD,3
TX,4846230,WINONA ISD,3
TX,4846500,WYLIE ISD,3
TX,4846620,YOAKUM ISD,3
TX,4846770,ZEPHYR ISD,3
AR,0500012,RIVERSIDE SCHOOL DISTRICT,2
AR,0500051,PALESTINE-WHEATLEY SCH. DIST.,2
AR,0500405,COSSATOT RIVER SCHOOL DISTRICT,2
AR,0506150,FLIPPIN SCHOOL DISTRICT,2
AR,0509390,MARION SCHOOL DISTRICT,2
AR,0511220,PARKERS CHAPEL SCHOOL DIST.,2
AR,0511340,PERRYVILLE SCHOOL DISTRICT,2
AR,0512960,STUTTGART SCHOOL DISTRICT,2
LA,2201380,Sabine Parish,2
LA,2201890,Webster Parish,2
MN,2711820,FARMINGTON PUBLIC SCHOOL DISTRICT,2
MN,2733870,ST. PETER PUBLIC SCHOOL DISTRICT,2
MS,2800540,BALDWYN SCHOOL DISTRICT,2
MS,2804650,WEST TALLAHATCHIE SCHOOL DISTRICT,2
MO,2912600,GAINESVILLE R-V,2
MO,2923070,OAK RIDGE R-VI,2
MO,2928470,SOUTH IRON CO. R-I,2
MO,2932490,ZALMA R-V,2
NY,3600068,HARLEM PREP CHARTER SCHOOL,2
OK,4005820,BUFFALO VALLEY,2
OK,4013230,GRAND VIEW,2
OK,4019200,MARYETTA,2
OK,4026640,SOUTH COFFEYVILLE,2
OK,4028590,STERLING,2
OK,4031950,WAUKOMIS,2
OK,4032940,WILSON,2
SC,4500780,Anderson 01,2
TN,4701140,Etowah,2
TN,4701980,Humphreys County,2
TN,4702790,McKenzie,2
TX,4807410,ABERNATHY ISD,2
TX,4808870,ATHENS ISD,2
TX,4812090,BUNA ISD,2
TX,4813260,CELESTE ISD,2
TX,4813620,CHANNING ISD,2
TX,4814160,CLARENDON ISD,2
TX,4814250,CLAUDE ISD,2
TX,4814520,COLDSPRING-OAKHURST CISD,2
TX,4823850,HUGHES SPRINGS ISD,2
TX,4824590,JACKSONVILLE ISD,2
TX,4828500,LUBBOCK ISD,2
TX,4829220,MARTINS MILL ISD,2
TX,4830210,MENARD ISD,2
TX,4831920,MULLIN ISD,2
TX,4833900,PADUCAH ISD,2
TX,4837080,RICHLAND SPRINGS ISD,2
TX,4837470,ROBY CISD,2
TX,4843170,TRINIDAD ISD,2
TX,4843980,VEGA ISD,2
TX,4844490,WALNUT BEND ISD,2
TX,4845210,WESTBROOK ISD,2
AL,0102700,Phenix City,1
AR,0500017,PARAGOULD SCHOOL DISTRICT,1
AR,0500071,HILLCREST SCHOOL DISTRICT,1
AR,0504560,CONCORD SCHOOL DISTRICT,1
AR,0504740,COUNTY LINE SCHOOL DISTRICT,1
AR,0507110,GURDON SCHOOL DISTRICT,1
AR,0507840,HOPE SCHOOL DISTRICT,1
AR,0512000,ROSE BUD SCHOOL DISTRICT,1
AR,0513680,WALDRON SCHOOL DISTRICT,1
CA,0606810,Cajon Valley Union,1
CA,0613920,Fontana Unified,1
CA,0634620,San Juan Unified,1
FL,1201740,ST. JOHNS,1
FL,1201890,UNION,1
GA,1301560,Crisp County,1
GA,1302190,Floyd County,1
GA,1303660,Miller County,1
GA,1305250,Union County,1
IN,1807920,North Newton School Corp,1
LA,2200630,Evangeline Parish,1
MI,2606090,Bloomfield Hills Schools,1
MS,2800930,CARROLL COUNTY SCHOOL DIST,1
MS,2801440,ENTERPRISE SCHOOL DIST,1
MS,2801560,GEORGE CO SCHOOL DIST,1
MS,2801950,HOLLY SPRINGS SCHOOL DIST,1
MS,2802820,MARION CO SCHOOL DIST,1
MS,2804560,WEBSTER CO SCHOOL DIST,1
MO,2902880,ADVANCE R-IV,1
MO,2904890,SCOTT CO. R-IV,1
MO,2911310,EL DORADO SPRINGS R-II,1
MO,2912780,GIDEON 37,1
MO,2913530,HALFWAY R-III,1
MO,2931890,WESTVIEW C-6,1
NY,3600160,ELMWOOD VILLAGE CHARTER SCHOOL DAYS PARK,1
NY,3601010,DEMOCRACY PREP HARLEM CHARTER SCHOOL,1
NY,3602820,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,1
NY,3610980,FARMINGDALE UNION FREE SCHOOL DISTRICT,1
NY,3611700,FULTON CITY SCHOOL DISTRICT,1
NY,3631290,WHITEHALL CENTRAL SCHOOL DISTRICT,1
NY,3680700,RENSSELAER-COLUMBIA-GREENE BOCES,1
NY,3680960,WESTCHESTER BOCES,1
OK,4000015,THOMAS-FAY-CUSTER UNIFIED DIST,1
OK,4002670,ALEX,1
OK,4003450,AVANT,1
OK,4006120,CACHE,1
OK,4006150,CADDO,1
OK,4008040,CLEVELAND,1
OK,4012000,FORT SUPPLY,1
OK,4017310,LEACH,1
OK,4018090,LONE GROVE,1
OK,4019500,MCCORD,1
OK,4024720,POND CREEK-HUNTER,1
OK,4028350,SPRINGER,1
OK,4029430,TALOGA,1
OK,4031170,VICI,1
OK,4031350,WAGONER,1
TN,4702880,McNairy County,1
TX,4807680,ALBANY ISD,1
TX,4808160,AMHERST ISD,1
TX,4810830,BOOKER ISD,1
TX,4812640,CAMERON ISD,1
TX,4812700,CANADIAN ISD,1
TX,4813440,CENTRAL HEIGHTS ISD,1
TX,4814450,CLYDE CISD,1
TX,4815480,COVINGTON ISD,1
TX,4819110,FARWELL ISD,1
TX,4819140,FAYETTEVILLE ISD,1
TX,4819820,FREER ISD,1
TX,4820500,GATESVILLE ISD,1
TX,4821000,GOLDTHWAITE ISD,1
TX,4821810,GROESBECK ISD,1
TX,4821840,GROOM ISD,1
TX,4822260,HAMLIN COLLEGIATE ISD,1
TX,4822500,HARLETON ISD,1
TX,4822740,HASKELL CISD,1
TX,4823790,HUDSON ISD,1
TX,4824240,IOLA ISD,1
TX,4824360,IREDELL ISD,1
TX,4825950,KRESS ISD,1
TX,4828680,MABANK ISD,1
TX,4829250,MARTINSVILLE ISD,1
TX,4830810,MILLER GROVE ISD,1
TX,4832880,NORDHEIM ISD,1
TX,4832910,NORMANGEE ISD,1
TX,4834560,PENELOPE ISD,1
TX,4836630,RED LICK ISD,1
TX,4837860,ROSCOE COLLEGIATE ISD,1
TX,4839030,SAN SABA ISD,1
TX,4840110,SHINER ISD,1
TX,4840890,SOUTHLAND ISD,1
TX,4841250,SPRINGLAKE-EARTH ISD,1
TX,4842690,THREE RIVERS ISD,1
TX,4843400,TURKEY-QUITAQUE ISD,1
TX,4843680,UTOPIA ISD,1
TX,4846080,WINDTHORST ISD,1
